Start Year,End Year,Data Year,State Accountability Calculation,Campus Number,Campus Name,Street Address,City,Zip Code,Type of School,District Number,District Name,County Number,County Name,Region Number,Region Name,Travis County all students graduation rate,Campus all students graduation rate,Campus African American graduation rate,Campus Asian graduation rate,Campus Hispanic graduation rate,Campus Multiracial graduation rate,Campus American Indian graduation rate,Campus Pacific Islander graduation rate,Campus White graduation rate,Campus economically disadvantaged graduation rate,Campus female graduation rate,Campus male graduation rate,Geocode Address
01/2019,12/2019,2019,No,227904004,Hendrickson H S,19201 Colorado Sand Dr,Plugerville,78660,Public,227904,Pflugerville ISD,227,Travis County,13,Austin,0.904,0.978,0.977,1,0.979,0.892,1,1,0.985,0.966,0.986,0.971,
01/2016,12/2016,2016,No,227909001,Westlake H S,4100 Westbank Dr,Austin,78746,Public,227909,Eanes ISD,227,Travis County,13,Austin,0.896,0.99,0.9,1,0.988,1,1,1,0.99,0.95,0.997,0.983,POINT (-97.814159 30.2751)
01/2019,12/2019,2019,No,227901015,Garza Independence H S,1600 Chicon St,Austin,78702,Public,227901,Austin ISD,227,Travis County,13,Austin,0.904,0.341,0.091,0.5,0.25,0.5,,,0.463,0.109,0.355,0.328,POINT (-97.720737 30.277589)
01/2018,12/2018,2018,No,227901019,Eastside Memorial At The Johnston,1012 Arthur Stiles Rd,Austin,78721,Public,227901,Austin ISD,227,Travis County,13,Austin,0.895,0.939,0.963,1,0.93,1,,,1,0.937,0.923,0.952,POINT (-97.681004 30.257085)
01/2020,12/2020,2020,No,227803001,Wayside Sci-Tech Middle And H S,10704 Bradshaw Rd,Austin,78747,Charter,227803,Wayside Schools,227,Travis County,13,Austin,0.897,0.978,-0.01,,0.974,,,,-0.01,0.97,0.964,1,POINT (-97.773994 30.13723)
01/2016,12/2016,2016,No,227901013,Bowie H S,4103 W Slaughter Ln,Austin,78749,Public,227901,Austin ISD,227,Travis County,13,Austin,0.896,0.978,1,1,1,0.97,,1,0.976,0.975,0.988,0.969,POINT (-97.856475 30.188388)
01/2017,12/2017,2017,No,227913001,Lake Travis H S,3324 Ranch Rd 620 S,Austin,78738,Public,227913,Lake Travis ISD,227,Travis County,13,Austin,0.893,0.961,1,0.971,0.941,1,,,0.964,0.903,0.972,0.951,POINT (-97.966855 30.33034)
01/2016,12/2016,2016,No,227912001,Lago Vista H S,5185 Lohman Ford Rd,Lago Vista,78645,Public,227912,Lago Vista ISD,227,Travis County,13,Austin,0.896,0.924,,1,0.885,1,1,,0.93,0.846,0.962,0.892,POINT (-97.979769 30.438738)
01/2019,12/2019,2019,No,227901002,Austin H S,1715 W Cesar Chavez St,Austin,78703,Public,227901,Austin ISD,227,Travis County,13,Austin,0.904,0.984,1,1,0.982,0.938,1,,0.986,0.97,0.983,0.984,POINT (-97.766118 30.274085)
01/2020,12/2020,2020,No,227824002,The East Austin College Prep At Ml,6002 Jain Lane,Austin,78721,Charter,227824,Promesa Public Schools,227,Travis County,13,Austin,0.897,0.951,1,,0.94,,,,-0.01,0.962,0.967,0.935,POINT (-97.682861 30.260417)
01/2016,12/2016,2016,No,227816002,Harmony Science Academy North Aust,930 E Rundberg Ln,Austin,78753,Charter,227816,Harmony Science Academy (Austin),227,Travis County,13,Austin,0.896,0.967,0.875,1,0.951,1,,,1,0.974,0.962,0.974,POINT (-97.685161 30.356584)
01/2019,12/2019,2019,No,227901008,Crockett H S,5601 Menchaca Rd,Austin,78745,Public,227901,Austin ISD,227,Travis County,13,Austin,0.904,0.967,0.895,1,0.98,1,,,0.938,0.949,0.957,0.978,POINT (-97.797771 30.215236)
01/2019,12/2019,2019,No,227816002,Harmony Science Academy-Pflugervil,1421 Wells Branch Pkwy #200,Plugerville,78660,Charter,227816,Harmony Science Academy (Austin),227,Travis County,13,Austin,0.904,1,1,1,1,1,,,1,1,1,1,POINT (-97.663126 30.44057)
